"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Hloušekite","Hlousekite","(Ni,Co)Cu<sub>4</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)<sub>2</sub>·9H<sub>2</sub>O","Ni Co Cu As O H","2013","Approved","Lindackerite","triclinic","Ni^2+ Co^2+ Cu^2+ As^5+ O H","Hšk"
"Hocartite","Hocartite","Ag<sub>2</sub>FeSnS<sub>4</sub>","Ag Fe Sn S","1967","Approved","Sphalerite, Stannite","tetragonal","Ag^1+ Fe^2+ Sn^4+ S^2-","Hoc"
"Hochelagaite","Hochelagaite","CaNb<sub>4</sub>O<sub>11</sub>·8H<sub>2</sub>O","Ca Nb O H","1983","Approved"," ","monoclinic","Ca Nb^5+ O H","Haga"
"Hodgesmithite","Hodgesmithite","(Cu,Zn)<sub>6</sub>Zn(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>10</sub>·3H<sub>2</sub>O","Cu Zn S O H","2015","Approved","Ktenasite","hexagonal","Cu^2+ Zn^2+ S^6+ O H","Hdg"
"Hodgkinsonite","Hodgkinsonite","Zn<sub>2</sub>Mn<sup>2+</sup>(SiO<sub>4</sub>)(OH)<sub>2</sub>","Zn Mn Si O H","1913","Approved,Grandfathered"," ","monoclinic","Zn^2+ Mn^2+ Si O H","Hgk"
"Hodrušite","Hodrusite","Cu<sub>8</sub>Bi<sub>12</sub>S<sub>22</sub>","Cu Bi S","1969","Approved,Renamed"," ","monoclinic","Cu^1+ Bi^3+ S^2-","Hod"
"Hoelite","Hoelite","C<sub>14</sub>H<sub>8</sub>O<sub>2</sub>","C H O","1922","Approved,Grandfathered"," ","monoclinic","C H O","Hoe"
"Hoganite","Hoganite","Cu(CH<sub>3</sub>COO)<sub>2</sub>·H<sub>2</sub>O","Cu C H O","2001","Approved","Acetate","monoclinic","Cu^2+ C H O","Hgn"
"Hogarthite","Hogarthite","(Na,K)<sub>2</sub>CaTi<sub>2</sub>Si<sub>10</sub>O<sub>26</sub>·8H<sub>2</sub>O","Na K Ca Ti Si O H","2009","Approved","Lemoynite","monoclinic","Na K Ca Ti^4+ Si O H","Hog"
"Høgtuvaite","Hogtuvaite","Ca<sub>4</sub>[Fe<sup>2+</sup><sub>6</sub>Fe<sup>3+</sup><sub>6</sub>]O<sub>4</sub>[Si<sub>8</sub>Be<sub>2</sub>Al<sub>2</sub>O<sub>36</sub>]","Ca Fe O Si Be Al","1990","Approved","Sapphirine","triclinic","Ca Fe^2+ Fe^3+ O Si Be Al","Htu"
"Hohmannite","Hohmannite","Fe<sup>3+</sup><sub>2</sub>O(SO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O","Fe O S H","1888","Approved,Grandfathered","Amarantite","triclinic","Fe^3+ O S^6+ H","Hoh"
"Holdawayite","Holdawayite","Mn<sup>2+</sup><sub>6</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>7</sub>(Cl,OH)","Mn C O H Cl","1986","Approved"," ","monoclinic","Mn^2+ C O H Cl","Hdw"
"Holdenite","Holdenite","Mn<sup>2+</sup><sub>6</sub>Zn<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>(SiO<sub>4</sub>)(OH)<sub>8</sub>","Mn Zn As O Si H","1927","Approved,Grandfathered"," ","orthorhombic","Mn^2+ Zn^2+ As^5+ O Si H","Hde"
"Holfertite","Holfertite","(UO<sub>2</sub>)<sub>1.75</sub>Ca<sub>0.25</sub>TiO<sub>4</sub>·3H<sub>2</sub>O","U O Ca Ti H","2003","Approved"," ","hexagonal","U^6+ O Ca Ti^4+ H","Hlf"
"Hollandite","Hollandite","Ba(Mn<sup>4+</sup><sub>6</sub>Mn<sup>3+</sup><sub>2</sub>)O<sub>16</sub>","Ba Mn O","1906","Approved,Redefined","Coronadite","monoclinic|tetragonal","Ba Mn^4+ Mn^3+ O","Hol"
"Hollingworthite","Hollingworthite","RhAsS","Rh As S","1964","Approved","Ullmannite","cubic","Rh^3+ As S","Hlw"
"Hollisterite","Hollisterite","Al<sub>3</sub>Fe","Al Fe","2016","Approved"," ","monoclinic","Al Fe","Hli"
"Holmquistite","Holmquistite","◻Li<sub>2</sub>(Mg<sub>3</sub>Al<sub>2</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","Li Mg Al Si O H","1913","Approved,Redefined","Amphibole","orthorhombic","Li Mg Al Si O H","Hlm"
"Holtedahlite","Holtedahlite","Mg<sub>12</sub>(PO<sub>3</sub>OH,CO<sub>3</sub>)(PO<sub>4</sub>)<sub>5</sub>(OH,O)<sub>6</sub>","Mg P O H C","1976","Approved","Holtedahlite","hexagonal","Mg P O H C","Htd"
"Holtite","Holtite","(Ta<sub>0.6</sub>◻<sub>0.4</sub>)Al<sub>6</sub>BSi<sub>3</sub>O<sub>18</sub>","Ta Al B Si O","1969","Approved,Redefined","Dumortierite","orthorhombic","Ta Al B Si O","Hlt"
"Holtstamite","Holtstamite","Ca<sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>","Ca Al Si O H","2003","Approved","Garnet","tetragonal","Ca Al Si O H","Hts"
"Homilite","Homilite","Ca<sub>2</sub>Fe<sup>2+</sup>B<sub>2</sub>Si<sub>2</sub>O<sub>10</sub>","Ca Fe B Si O","1876","Approved,Grandfathered","Gadolinite","monoclinic","Ca Fe^2+ B Si O","Hom"
"Honeaite","Honeaite","Au<sub>3</sub>TlTe<sub>2</sub>","Au Tl Te","2015","Approved","Not in a structural group","orthorhombic","Au Tl Te","Hne"
"Honessite","Honessite","(Ni<sub>1-x</sub>Fe<sup>3+</sup><sub>x</sub>)(SO<sub>4</sub>)<sub>x/2</sub>(OH)<sub>2</sub>·nH<sub>2</sub>O (x < 0.5, n < 3x/2)","Ni Fe S O H","1956","Approved","Woodwardite, Hydrotalcite","hexagonal","Ni^2+ Fe^3+ S^6+ O H","Hon"
"Hongheite","Hongheite","Ca<sub>19</sub>Fe<sup>2+</sup>Al<sub>4</sub>(Fe<sup>3+</sup>,Mg,Al)<sub>8</sub>(◻,B)<sub>4</sub>BSi<sub>18</sub>O<sub>69</sub>(O,OH)<sub>9</sub>","Ca Fe Al Mg B Si O H","2017","Approved","Vesuvianite","tetragonal","Ca Fe^2+ Al Fe^3+ Mg B Si O H","Hgh"
"Hongshiite","Hongshiite","PtCu","Pt Cu","1974","Approved"," ","hexagonal","Pt Cu","Hng"
"Honzaite","Honzaite","Ni<sub>2</sub>[AsO<sub>3</sub>(OH)]<sub>2</sub>(H<sub>2</sub>O)<sub>5</sub>","Ni As O H","2014","Approved","Burgessite","monoclinic","Ni^2+ As^5+ O H","Hzt"
"Hopeite","Hopeite","Zn<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O","Zn P O H","1826","Approved,Grandfathered","Hopeite","orthorhombic","Zn^2+ P O H","Hop"
"Horákite","Horakite","(Bi<sub>7</sub>O<sub>7</sub>OH)[(UO<sub>2</sub>)<sub>4</sub>(PO<sub>4</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>]·3.5H<sub>2</sub>O","Bi O H U P As","2017","Approved","Not in a structural group","monoclinic","Bi^3+ O H U^6+ P As^5+","Hor"
"Hörnesite","Hornesite","Mg<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O","Mg As O H","1860","Approved,Grandfathered","Vivianite","monoclinic","Mg As^5+ O H","Hns"
"Horomanite","Horomanite","Fe<sub>6</sub>Ni<sub>3</sub>S<sub>8</sub>","Fe Ni S","2007","Approved"," ","tetragonal","Fe Ni S","Hmn"
"Horváthite-(Y)","Horvathite-(Y)","NaY(CO<sub>3</sub>)F<sub>2</sub>","Na Y C O F","1996","Approved"," ","orthorhombic","Na Y C O F","Hrv-Y"
"Höslite","Hoslite","Fe<sup>3+</sup><sub>3</sub>(VO<sub>4</sub>)<sub>2</sub>(SO<sub>4</sub>)(OH)(H<sub>2</sub>O)<sub>4</sub>·3H<sub>2</sub>O","Fe V O S H","2022","Approved,Pending publication"," ","monoclinic","Fe^3+ V O S H","Hös"
"Hotsonite","Hotsonite","Al<sub>5</sub>(SO<sub>4</sub>)(PO<sub>4</sub>)(OH)<sub>10</sub>·8H<sub>2</sub>O","Al S O P H","1983","Approved"," ","triclinic","Al S^6+ O P H","Hot"
"Housleyite","Housleyite","Pb<sub>6</sub>CuTe<sub>4</sub>O<sub>18</sub>(OH)<sub>2</sub>","Pb Cu Te O H","2009","Approved","Not in a structural group","monoclinic","Pb^2+ Cu^2+ Te^6+ O H","Hou"
"Howardevansite","Howardevansite","NaCu<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(VO<sub>4</sub>)<sub>3</sub>","Na Cu Fe V O","1987","Approved","Howardevansite","triclinic","Na Cu^2+ Fe^3+ V^5+ O","Hdv"
"Howieite","Howieite","Na(Fe<sup>2+</sup>,Fe<sup>3+</sup>,Al,Mg)<sub>12</sub>(Si<sub>6</sub>O<sub>17</sub>)<sub>2</sub>(O,OH)<sub>10</sub>","Na Fe Al Mg Si O H","1964","Approved"," ","triclinic","Na Fe^2+ Fe^3+ Al Mg Si O H","Hw"
"Howlite","Howlite","Ca<sub>2</sub>SiB<sub>5</sub>O<sub>9</sub>(OH)<sub>5</sub>","Ca Si B O H","1868","Approved,Grandfathered"," ","monoclinic","Ca B Si O H","How"
"Hrabákite","Hrabakite","Ni<sub>9</sub>PbSbS<sub>8</sub>","Ni Pb Sb S","2020","Approved","hauchecornite","tetragonal","Ni Pb Sb S","Hbá"
"Hsianghualite","Hsianghualite","Li<sub>2</sub>Ca<sub>3</sub>Be<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>F<sub>2</sub>","Li Ca Be Si O F","1958","Approved","Analcime","cubic","Li Ca Be Si O F","Hsi"
"Huanghoite-(Ce)","Huanghoite-(Ce)","BaCe(CO<sub>3</sub>)<sub>2</sub>F","Ba Ce C O F","1961","Approved,Renamed"," ","hexagonal","Ba Ce^3+ C O F","Hho-Ce"
"Huangite","Huangite","Ca<sub>0.5</sub>Al<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","Ca Al S O H","1991","Approved","Alunite-Alunite","hexagonal","Ca Al S^6+ O H","Hua"
"Huanzalaite","Huanzalaite","Mg(WO<sub>4</sub>)","Mg W O","2009","Approved","Columbite","monoclinic","Mg W^6+ O","Hza"
"Hubeite","Hubeite","Ca<sub>2</sub>Mn<sup>2+</sup>Fe<sup>3+</sup>Si<sub>4</sub>O<sub>12</sub>(OH)·2H<sub>2</sub>O","Ca Mn Fe Si O H","2000","Approved"," ","triclinic","Ca Mn^2+ Fe^3+ Si O H","Hub"
"Hübnerite","Hubnerite","Mn<sup>2+</sup>(WO<sub>4</sub>)","Mn W O","1865","Approved,Grandfathered","Columbite","monoclinic","Mn^2+ W^6+ O","Hbr"
"Huemulite","Huemulite","Na<sub>4</sub>MgV<sup>5+</sup><sub>10</sub>O<sub>28</sub>·24H<sub>2</sub>O","Na Mg V O H","1965","Approved","Pascoite","triclinic","Na Mg V^5+ O H","Hml"
"Huenite","Huenite","Cu<sub>4</sub>(MoO<sub>4</sub>)<sub>3</sub>(OH)<sub>2</sub>","Cu Mo O H","2016","Approved"," ","hexagonal","Cu^2+ Mo^6+ O H","Hue"
"Hügelite","Hugelite","Pb<sub>2</sub>(UO<sub>2</sub>)<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>O<sub>2</sub>·5H<sub>2</sub>O","Pb U O As H","1913","Approved,Grandfathered"," ","monoclinic","Pb^2+ U^6+ O As^5+ H","Hüg"
"Hughesite","Hughesite","Na<sub>3</sub>AlV<sub>10</sub>O<sub>28</sub>·22H<sub>2</sub>O","Na Al V O H","2009","Approved","Pascoite","triclinic","Na Al V^5+ O H","Hug"
"Huizingite-(Al)","Huizingite-(Al)","(NH<sub>4</sub>)<sub>9</sub>Al<sub>3</sub>(SO<sub>4</sub>)<sub>8</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O","N H Al S O","2015","Approved","Not in a structural group","triclinic","N^3- H Al S^6+ O","Hui-Al"
"Hulsite","Hulsite","Fe<sup>2+</sup><sub>2</sub>Fe<sup>3+</sup>O<sub>2</sub>(BO<sub>3</sub>)","Fe O B","1908","Approved,Grandfathered","Hulsite","monoclinic","Fe^2+ Fe^3+ O B","Hls"
"Humberstonite","Humberstonite","K<sub>3</sub>Na<sub>7</sub>Mg<sub>2</sub>(SO<sub>4</sub>)<sub>6</sub>(NO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O","K Na Mg S O N H","1967","Approved"," ","hexagonal","K Na Mg S^6+ O N^5+ H","Hbe"
"Humboldtine","Humboldtine","Fe<sup>2+</sup>(C<sub>2</sub>O<sub>4</sub>)·2H<sub>2</sub>O","Fe C O H","1821","Approved,Grandfathered","Humboldtine, Oxalate","monoclinic","Fe^2+ C O H","Hbd"
"Humite","Humite","Mg<sub>7</sub>(SiO<sub>4</sub>)<sub>3</sub>F<sub>2</sub>","Mg Si O F","1813","Approved,Grandfathered","Humite","orthorhombic","Mg Si O F","Hu"
"Hummerite","Hummerite","KMgV<sup>5+</sup><sub>5</sub>O<sub>14</sub>·8H<sub>2</sub>O","K Mg V O H","1951","Approved,Grandfathered","Pascoite","triclinic","K Mg V^5+ O H","Hum"
"Hunchunite","Hunchunite","Au<sub>2</sub>Pb","Au Pb","1991","Approved"," ","cubic","Au Pb","Hcn"
"Hundholmenite-(Y)","Hundholmenite-(Y)","(Y,REE,Ca,Na)<sub>15</sub>(Al,Fe<sup>3+</sup>)Ca<sub>x</sub>As<sup>3+</sup><sub>1-x</sub>(Si,As<sup>5+</sup>)Si<sub>6</sub>B<sub>3</sub>(O,F)<sub>48</sub>","Y REE Ca Na Al Fe As Si B O F","2006","Approved","Okanoganite","hexagonal","Y REE Ca Na Al Fe^3+ As^3+ Si As^5+ B O F","Hhm-Y"
"Hungchaoite","Hungchaoite","MgB<sub>4</sub>O<sub>5</sub>(OH)<sub>4</sub>·7H<sub>2</sub>O","Mg B O H","1964","Approved"," ","triclinic","Mg B O H","Hch"
"Huntite","Huntite","CaMg<sub>3</sub>(CO<sub>3</sub>)<sub>4</sub>","Ca Mg C O","1953","Approved,Grandfathered","Not in a structural group","hexagonal","Ca Mg C O","Hun"
"Hureaulite","Hureaulite","Mn<sup>2+</sup><sub>5</sub>(PO<sub>3</sub>OH)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O","Mn P O H","1825","Approved,Renamed","Hureaulite","monoclinic","Mn^2+ P O H","Hur"
"Hurlbutite","Hurlbutite","CaBe<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>","Ca Be P O","1952","Approved,Grandfathered","Danburite","monoclinic","Ca Be P O","Hrb"
"Hutcheonite","Hutcheonite","Ca<sub>3</sub>Ti<sub>2</sub>(SiAl<sub>2</sub>)O<sub>12</sub>","Ca Ti Si Al O","2013","Approved","Garnet","cubic","Ca Ti^4+ Al Si O","Htn"
"Hutchinsonite","Hutchinsonite","TlPbAs<sub>5</sub>S<sub>9</sub>","Tl Pb As S","1905","Approved,Grandfathered"," ","orthorhombic","Pb^2+ Tl^1+ As^3+ S^2-","Hut"
"Huttonite","Huttonite","Th(SiO<sub>4</sub>)","Th Si O","1951","Approved,Grandfathered","Monazite","monoclinic","Th^4+ Si O","Ht"
"Hyalotekite","Hyalotekite","(Ba,Pb,K)<sub>4</sub>(Ca,Y)<sub>2</sub>(B,Be)<sub>2</sub>(Si,B)<sub>2</sub>Si<sub>8</sub>O<sub>28</sub>F","Ba Pb K Ca Y B Be Si O F","1877","Approved,Grandfathered","Hyalotekite","triclinic","Ba Pb^2+ K Ca Y B Be Si O F","Hya"
"Hydrobasaluminite","Hydrobasaluminite","Al<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>10</sub>·15H<sub>2</sub>O","Al S O H","1948","Approved,Grandfathered"," ","monoclinic","Al S^6+ O H","Hba"
"Hydrobiotite","Hydrobiotite","K(Mg,Fe<sup>2+</sup>)<sub>6</sub>(Si,Al)<sub>8</sub>O<sub>20</sub>(OH)<sub>4</sub>·nH<sub>2</sub>O","K Mg Fe Si Al O H","1882","Approved,Redefined","Corrensite, Clay","","K Mg Fe^2+ Si Al O H","Hbt"
"Hydroboracite","Hydroboracite","CaMg[B<sub>3</sub>O<sub>4</sub>(OH)<sub>3</sub>]<sub>2</sub>·3H<sub>2</sub>O","Ca Mg B O H","1834","Approved,Grandfathered"," ","monoclinic","Ca Mg B O H","Hbo"
"Hydrocalumite","Hydrocalumite","Ca<sub>4</sub>Al<sub>2</sub>(OH)<sub>12</sub>(Cl,CO<sub>3</sub>,OH)<sub>2</sub>·4H<sub>2</sub>O","Ca Al O H Cl C","1934","Approved,Grandfathered","Hydrotalcite","monoclinic","Ca Al O H Cl C","Hcl"
"Hydrocerussite","Hydrocerussite","Pb<sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>","Pb C O H","1877","Approved,Grandfathered"," ","hexagonal","Pb^2+ C O H","Hcer"
"Hydrochlorborite","Hydrochlorborite","Ca<sub>2</sub>B<sub>3</sub>O<sub>3</sub>(OH)<sub>4</sub>·BO(OH)<sub>3</sub>Cl·7H<sub>2</sub>O","Ca B O H Cl","1965","Approved,Grandfathered"," ","monoclinic","Ca B O Cl H","Hcb"
"Hydrodelhayelite","Hydrodelhayelite","KCa<sub>2</sub>(Si<sub>7</sub>Al)O<sub>17</sub>(OH)<sub>2</sub>·6H<sub>2</sub>O","K Ca Si Al O H","1979","Approved"," ","orthorhombic","K Ca Si Al O H","Hdhy"
"Hydrodresserite","Hydrodresserite","BaAl<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>·3H<sub>2</sub>O","Ba Al C O H","1976","Approved","Dundasite","triclinic","Ba Al C O H","Hdrs"
"Hydroglauberite","Hydroglauberite","Na<sub>10</sub>Ca<sub>3</sub>(SO<sub>4</sub>)<sub>8</sub>·6H<sub>2</sub>O","Na Ca S O H","1968","Approved"," ","","Na Ca S^6+ O H","Hglb"
"Hydrohalite","Hydrohalite","NaCl·2H<sub>2</sub>O","Na Cl H O","1847","Approved,Grandfathered"," ","monoclinic","Na Cl H O","Hhl"
"Hydrohalloysite","Hydrohalloysite","Al<sub>2</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>·2H<sub>2</sub>O","Al Si O H","1934","Approved,Grandfathered,Renamed","Clay, Kaolinite","","Al Si O H","Hly-10Å"
"Hydrohonessite","Hydrohonessite","(Ni<sub>1-x</sub>Fe<sup>3+</sup><sub>x</sub>)(SO<sub>4</sub>)<sub>x/2</sub>(OH)<sub>2</sub>·nH<sub>2</sub>O (x < 0.5, n > 3x/2)","Ni Fe S O H","1980","Approved","Woodwardite, Hydrotalcite","hexagonal","Ni^2+ Fe^3+ S^6+ O H","Hhon"
"Hydrokenoelsmoreite","Hydrokenoelsmoreite","◻<sub>2</sub>W<sub>2</sub>O<sub>6</sub>(H<sub>2</sub>O)","W O H","2003","Approved,Redefined","Pyrochlore-Elsmoreite","cubic","W^6+ O H","Hkm"
"Hydrokenomicrolite","Hydrokenomicrolite","(◻,H<sub>2</sub>O)<sub>2</sub>Ta<sub>2</sub>(O,OH)<sub>6</sub>(H<sub>2</sub>O)","H O Ta","2011","Approved","Pyrochlore-microlite","cubic","H O Ta^5+","Hkmic"
"Hydrokenopyrochlore","Hydrokenopyrochlore","(◻,Sb<sup>3+</sup>,Na)<sub>2</sub>Nb<sub>2</sub>O<sub>6</sub>·H<sub>2</sub>O","Sb Na Nb O H","2017","Approved","Pyrochlore-Pyrochlore","cubic","Sb^3+ Na Nb^5+ O H","Hkpcl"
"Hydrokenoralstonite","Hydrokenoralstonite","◻<sub>2</sub>Al<sub>2</sub>F<sub>6</sub>(H<sub>2</sub>O)","Al F H O","1871","Approved,Renamed","Pyrochlore","cubic","Al F H O","Hkra"
"Hydromagnesite","Hydromagnesite","Mg<sub>5</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O","Mg C O H","1828","Approved,Grandfathered"," ","monoclinic","Mg C O H","Hmgs"
"Hydrombobomkulite","Hydrombobomkulite","(Ni,Cu)Al<sub>4</sub>(NO<sub>3</sub>,SO<sub>4</sub>)<sub>2</sub>(OH)<sub>12</sub>·14H<sub>2</sub>O","Ni Cu Al N O S H","1979","Approved","Chalcoalumite","monoclinic","Ni^2+ Cu^2+ Al N^5+ O S^6+ H","Hmbb"
"Hydroniumjarosite","Hydroniumjarosite","(H<sub>3</sub>O)Fe<sup>3+</sup><sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>","H O Fe S","1960","Approved,Redefined","Alunite-Alunite","hexagonal","H O Fe^3+ S^6+","Hjrs"
"Hydroniumpharmacoalumite","Hydroniumpharmacoalumite","(H<sub>3</sub>O)Al<sub>4</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>·4.5H<sub>2</sub>O","H O Al As","2012","Approved","Pharmacosiderite","cubic","H O Al As^5+","Hpal"
"Hydroniumpharmacosiderite","Hydroniumpharmacosiderite","(H<sub>3</sub>O)Fe<sup>3+</sup><sub>4</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>4</sub>·4H<sub>2</sub>O","H O Fe As","2010","Approved","Pharmacosiderite","cubic","H O Fe^3+ As^5+","Hpsd"
"Hydronováčekite","Hydronovacekite","Mg(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O","Mg U O As H","1951","Approved,Renamed"," ","triclinic","Mg U^6+ O As^5+ H","Nvč-I"
"Hydropascoite","Hydropascoite","Ca<sub>3</sub>(V<sub>10</sub>O<sub>28</sub>)·24H<sub>2</sub>O","Ca V O H","2016","Approved","Pascoite","triclinic","Ca V^5+ O H","Hpas"
"Hydroplumboelsmoreite","Hydroplumboelsmoreite","(Pb◻)(W<sub>1.33</sub>Fe<sup>3+</sup><sub>0.67</sub>)O<sub>6</sub>(H<sub>2</sub>O)","Pb W Fe O H","1979","Approved,Redefined","Pyrochlore-Elsmoreite","cubic","Pb^2+ W^6+ Fe^3+ O H","Hpe"
"Hydropyrochlore","Hydropyrochlore","(H<sub>2</sub>O,◻)<sub>2</sub>Nb<sub>2</sub>(O,OH)<sub>6</sub>(H<sub>2</sub>O)","H O Nb","1977","Approved,Redefined","Pyrochlore-Pyrochlore","cubic","H O Nb^5+","Hpcl"
"Hydroredmondite","Hydroredmondite","[Pb<sub>8</sub>O<sub>2</sub>Zn(OH)<sub>6</sub>](S<sub>2</sub>O<sub>3</sub>)<sub>4</sub>·2H<sub>2</sub>O","Pb O Zn H S","2022","Approved","Not in a structural group","monoclinic","Pb^2+ O Zn^2+ H S","Hrdm"
"Hydroromarchite","Hydroromarchite","Sn<sup>2+</sup><sub>3</sub>O<sub>2</sub>(OH)<sub>2</sub>","Sn O H","1969","Approved"," ","tetragonal","Sn^2+ O H","Hrom"
"Hydroscarbroite","Hydroscarbroite","Al<sub>14</sub>(CO<sub>3</sub>)<sub>3</sub>(OH)<sub>36</sub>·nH<sub>2</sub>O","Al C O H","1960","Approved,Questionable mineral species"," ","","Al C O H","Hsca"
"Hydrotalcite","Hydrotalcite","Mg<sub>6</sub>Al<sub>2</sub>CO<sub>3</sub>(OH)<sub>16</sub>(H<sub>2</sub>O)<sub>4</sub>","Mg Al C O H","1842","Approved","Hydrotalcite","hexagonal","Mg Al C O H","Htc"
"Hydroterskite","Hydroterskite","Na<sub>2</sub>ZrSi<sub>6</sub>O<sub>12</sub>(OH)<sub>6</sub>","Na Zr Si O H","2015","Approved","Terskite","orthorhombic","Na Zr^4+ Si O H","Hter"
"Hydrotungstite","Hydrotungstite","WO<sub>2</sub>(OH)<sub>2</sub>·H<sub>2</sub>O","W O H","1944","Approved,Grandfathered"," ","monoclinic","W^6+ O H","Htgs"
"Hydrowoodwardite","Hydrowoodwardite","(Cu<sub>1-x</sub>Al<sub>x</sub>)(SO<sub>4</sub>)<sub>x/2</sub>(OH)<sub>2</sub>·nH<sub>2</sub>O (x < 0.5, n > 3x/2)","Cu Al S O H","1996","Approved","Woodwardite, Hydrotalcite","hexagonal","Cu^2+ Al S^6+ O H","Hwwd"
"Hydroxyapophyllite-(K)","Hydroxyapophyllite-(K)","KCa<sub>4</sub>Si<sub>8</sub>O<sub>20</sub>(OH,F)·8H<sub>2</sub>O","K Ca Si O H F","1976","Approved,Renamed","Apophyllite","tetragonal","K Ca Si O H","Hapo-K"
"Hydroxycalciomicrolite","Hydroxycalciomicrolite","Ca<sub>1.5</sub>Ta<sub>2</sub>O<sub>6</sub>(OH)","Ca Ta O H","2013","Approved","Pyrochlore-microlite","cubic","Ca Ta^5+ O H","Hcmic"
"Hydroxycalciopyrochlore","Hydroxycalciopyrochlore","(Ca,Na,U,◻)<sub>2</sub>(Nb,Ti)<sub>2</sub>O<sub>6</sub>(OH)","Ca Na U Nb Ti O H","2011","Approved","Pyrochlore-Pyrochlore","cubic","Ca Na U^4+ Nb^5+ Ti^4+ O H","Hcpcl"
"Hydroxycalcioroméite","Hydroxycalcioromeite","(Ca,Sb<sup>3+</sup>)<sub>2</sub>(Sb<sup>5+</sup>,Ti)<sub>2</sub>O<sub>6</sub>(OH)","Ca Sb Ti O H","1895","Approved,Redefined","Pyrochlore-Roméite","cubic","Ca Sb^3+ Sb^5+ Ti^4+ O H","Hcr"
"Hydroxycancrinite","Hydroxycancrinite","(Na,Ca,K)<sub>8</sub>(Al<sub>6</sub>Si<sub>6</sub>O<sub>24</sub>)(OH,CO<sub>3</sub>)<sub>2</sub>·2H<sub>2</sub>O","Na Ca K Al Si O H C","1990","Approved","Cancrinite, Cancrinite-sodalite","hexagonal","Na Ca K Al Si O H C","Hccn"
"Hydroxyferroroméite","Hydroxyferroromeite","(Fe<sup>2+</sup><sub>1.5</sub>◻<sub>0.5</sub>)Sb<sup>5+</sup><sub>2</sub>O<sub>6</sub>(OH)","Fe Sb O H","2016","Approved","Pyrochlore-Roméite","cubic","Fe^2+ Sb^5+ O H","Hfr"
"Hydroxykenoelsmoreite","Hydroxykenoelsmoreite","(◻,Pb)<sub>2</sub>(W,Fe<sup>3+</sup>,Al)<sub>2</sub>(O,OH)<sub>6</sub>(OH)","Pb W Fe Al O H","2016","Approved","Pyrochlore-Elsmoreite","cubic|hexagonal","Pb^2+ W^6+ Fe^3+ Al O H","Hykm"
"Hydroxykenomicrolite","Hydroxykenomicrolite","(◻,Na,Sb<sup>3+</sup>)<sub>2</sub>Ta<sub>2</sub>O<sub>6</sub>(OH)","Na Sb Ta O H","1980","Approved,Redefined","Pyrochlore-microlite","cubic","Na Sb^3+ Ta^5+ O H","Hykmic"
"Hydroxykenopyrochlore","Hydroxykenopyrochlore","(◻,Ce,Ba)<sub>2</sub>(Nb,Ti)<sub>2</sub>O<sub>6</sub>(OH,F)","Ce Ba Nb Ti O H F","2017","Approved","Pyrochlore-Pyrochlore","cubic","Ce^3+ Ba Nb^5+ Ti^4+ O H F","Hykpcl"
"Hydroxylapatite","Hydroxylapatite","Ca<sub>5</sub>(PO<sub>4</sub>)<sub>3</sub>OH","Ca P O H","1856","Approved,Renamed","Apatite","hexagonal","Ca P O H","Hap"
