"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Caminite","Caminite","Mg<sub>7</sub>(SO<sub>4</sub>)<sub>5</sub>(OH)<sub>4</sub>·H<sub>2</sub>O","Mg S O H","1983","Approved","Lipscombite","tetragonal","Mg S^6+ O H","Cmi"
"Campigliaite","Campigliaite","Cu<sub>4</sub>Mn<sup>2+</sup>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·4H<sub>2</sub>O","Cu Mn S O H","1981","Approved","Devilline","monoclinic","Cu^2+ Mn^2+ S^6+ O H","Cpg"
"Campostriniite","Campostriniite","(Bi<sub>2.5</sub>Na<sub>0.5</sub>)(NH<sub>4</sub>)<sub>2</sub>Na<sub>2</sub>(SO<sub>4</sub>)<sub>6</sub>·H<sub>2</sub>O","Bi Na N H S O","2013","Approved","Görgeyite","monoclinic","Bi^3+ Na N H S^6+ O","Cps"
"Canaphite","Canaphite","Na<sub>2</sub>CaP<sub>2</sub>O<sub>7</sub>·4H<sub>2</sub>O","Na Ca P O H","1983","Approved"," ","monoclinic","Na Ca P O H","Cnp"
"Canasite","Canasite","K<sub>3</sub>Na<sub>3</sub>Ca<sub>5</sub>Si<sub>12</sub>O<sub>30</sub>(OH)<sub>4</sub>","K Na Ca Si O H","1959","Approved"," ","monoclinic","K Na Ca Si O H","Cns"
"Canavesite","Canavesite","Mg<sub>2</sub>(HBO<sub>3</sub>)(CO<sub>3</sub>)·5H<sub>2</sub>O","Mg H B O C","1977","Approved"," ","monoclinic","Mg H B O C","Cnv"
"Cancrinite","Cancrinite","(Na,Ca,◻)<sub>8</sub>(Al<sub>6</sub>Si<sub>6</sub>)O<sub>24</sub>(CO<sub>3</sub>,SO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O","Na Ca Al Si O C S H","1833","Approved,Grandfathered","Cancrinite","hexagonal","Na Ca Al Si O C S^6+ H","Ccn"
"Cancrisilite","Cancrisilite","Na<sub>7</sub>(Si<sub>7</sub>Al<sub>5</sub>)O<sub>24</sub>(CO<sub>3</sub>)·3H<sub>2</sub>O","Na Si Al O C H","1990","Approved","Cancrinite, Cancrinite-sodalite","hexagonal","Na Si Al O C H","Cnc"
"Canfieldite","Canfieldite","Ag<sub>8</sub>SnS<sub>6</sub>","Ag Sn S","1894","Approved,Grandfathered","Argyrodite","cubic|orthorhombic","Ag^1+ Sn^4+ S^2-","Cfi"
"Cannizzarite","Cannizzarite","Pb<sub>8</sub>Bi<sub>10</sub>S<sub>23</sub>","Pb Bi S","1924","Approved,Grandfathered"," ","monoclinic","Pb^2+ Bi^3+ S^2-","Cnz"
"Cannonite","Cannonite","Bi<sub>2</sub>O(SO<sub>4</sub>)(OH)<sub>2</sub>","Bi O S H","1992","Approved"," ","monoclinic","Bi^3+ O S^6+ H","Cnn"
"Canosioite","Canosioite","Ba<sub>2</sub>Fe<sup>3+</sup>(AsO<sub>4</sub>)<sub>2</sub>(OH)","Ba Fe As O H","2015","Approved","Brackebuschite","monoclinic","Ba Fe^3+ As^5+ O H","Cso"
"Canutite","Canutite","Na◻MnMn<sub>2</sub>(AsO<sub>4</sub>)[AsO<sub>3</sub>(OH)]<sub>2</sub>","Na Mn As O H","2013","Approved","Alluaudite","monoclinic","Na Mn^2+ As^5+ O H","Can"
